# Voltage vs time V(t), example data 2, exercise 2.
# Voltage in Volts, time in seconds.
# Colums: t, V(t)
0.13000, -0.65354
0.13050, -0.28081
0.13100, 0.17404
0.13150, 0.60895
0.13200, 0.96071
0.13250, 1.09554
0.13300, 0.93822
0.13350, 0.66962
0.13400, 0.25510
0.13450, -0.18922
0.13500, -0.68941
0.13550, -0.85659
0.13600, -0.98013
0.13650, -0.75614
0.13700, -0.43746
0.13750, 0.04814
0.13800, 0.50893
0.13850, 0.90549
0.13900, 1.00082
0.13950, 1.00654
0.14000, 0.71714
0.14050, 0.36487
0.14100, -0.09395
0.14150, -0.52091
0.14200, -0.82648
0.14250, -0.92366
0.14300, -0.81033
0.14350, -0.47769
0.14400, -0.01168
0.14450, 0.46493
0.14500, 0.83003
0.14550, 0.99785
0.14600, 1.04205
0.14650, 0.80143
0.14700, 0.44888
0.14750, -0.05907
0.14800, -0.44120
0.14850, -0.85239
0.14900, -0.99442
0.14950, -0.87841
0.15000, -0.61138
0.15050, -0.17957
0.15100, 0.34356
0.15150, 0.75250
0.15200, 0.96601
0.15250, 1.07824
0.15300, 0.84089
0.15350, 0.56747
0.15400, 0.05053
0.15450, -0.35386
0.15500, -0.75476
0.15550, -0.93607
0.15600, -0.86142
0.15650, -0.65666
0.15700, -0.29204
0.15750, 0.21232
0.15800, 0.64480
0.15850, 0.95837
0.15900, 1.00983
0.15950, 0.88633
0.16000, 0.59545
0.16050, 0.16284
0.16100, -0.25842
0.16150, -0.65692
0.16200, -0.93484
0.16250, -0.96952
0.16300, -0.75264
0.16350, -0.34553
0.16400, 0.13297
0.16450, 0.60825
0.16500, 0.94924
0.16550, 1.04024
0.16600, 0.95582
0.16650, 0.69745
0.16700, 0.24410
0.16750, -0.17299
0.16800, -0.59981
0.16850, -0.87424
0.16900, -0.97130
0.16950, -0.74656
0.17000, -0.46101
0.17050, -0.02089
0.17100, 0.42928
0.17150, 0.81997
0.17200, 1.04668
0.17250, 1.03175
0.17300, 0.72190
0.17350, 0.37326
0.17400, -0.13982
0.17450, -0.58028
0.17500, -0.85526
0.17550, -0.92907
0.17600, -0.86379
0.17650, -0.57380
0.17700, -0.08387
0.17750, 0.33886
0.17800, 0.77637
0.17850, 1.04828
0.17900, 1.07192
0.17950, 0.85105
0.18000, 0.47155
0.18050, 0.04497
0.18100, -0.43682
0.18150, -0.82760
0.18200, -0.89749
0.18250, -0.82979
0.18300, -0.57131
0.18350, -0.17020
0.18400, 0.26414
0.18450, 0.69886
0.18500, 0.98462
0.18550, 1.03452
0.18600, 0.86441
0.18650, 0.59819
0.18700, 0.11684
0.18750, -0.31163
0.18800, -0.72060
0.18850, -0.91967
0.18900, -0.93946
0.18950, -0.72884
0.19000, -0.31627
0.19050, 0.14573
0.19100, 0.64193
0.19150, 0.90172
0.19200, 1.01364
0.19250, 0.91152
0.19300, 0.66066
0.19350, 0.25272
0.19400, -0.31090
0.19450, -0.67731
0.19500, -0.91023
0.19550, -0.89974
0.19600, -0.70545
0.19650, -0.38775
0.19700, 0.12196
0.19750, 0.49721
0.19800, 0.87677
0.19850, 1.06636
0.19900, 1.02914
0.19950, 0.72264
0.20000, 0.34833
0.20050, -0.16946
0.20100, -0.54455
0.20150, -0.82325
0.20200, -0.93860
0.20250, -0.79610
0.20300, -0.51542
0.20350, -0.04649
0.20400, 0.45247
0.20450, 0.79022
0.20500, 1.06612
0.20550, 0.99042
0.20600, 0.79269
0.20650, 0.41342
0.20700, -0.06367
0.20750, -0.47554
0.20800, -0.83240
0.20850, -0.98916
0.20900, -0.85703
0.20950, -0.51455
0.21000, -0.11876
0.21050, 0.32514
0.21100, 0.79329
0.21150, 0.99411
0.21200, 1.05196
0.21250, 0.89456
0.21300, 0.45500
0.21350, 0.04475
0.21400, -0.43862
0.21450, -0.75153
0.21500, -0.92672
0.21550, -0.89941
0.21600, -0.67530
0.21650, -0.27180
0.21700, 0.22325
0.21750, 0.71679
0.21800, 0.91631
0.21850, 1.05408
0.21900, 0.87621
0.21950, 0.57210
0.22000, 0.11741
0.22050, -0.32918
0.22100, -0.70285
0.22150, -0.87441
0.22200, -0.87511
0.22250, -0.74545
0.22300, -0.33842
0.22350, 0.15276
0.22400, 0.57146
0.22450, 0.88194
0.22500, 1.02862
0.22550, 1.00025
0.22600, 0.62175
0.22650, 0.28935
0.22700, -0.24546
0.22750, -0.63662
0.22800, -0.88805
0.22850, -0.92291
0.22900, -0.72474
0.22950, -0.39942
0.23000, 0.02375
0.23050, 0.48799
0.23100, 0.88655
0.23150, 1.07634
0.23200, 0.99338
0.23250, 0.78056
0.23300, 0.32893
0.23350, -0.12893
0.23400, -0.54160
0.23450, -0.84302
0.23500, -0.92663
0.23550, -0.83387
0.23600, -0.48236
0.23650, -0.04235
0.23700, 0.40062
0.23750, 0.75374
0.23800, 1.05284
0.23850, 1.07303
0.23900, 0.77635
0.23950, 0.47861
0.24000, -0.01041
0.24050, -0.46552
0.24100, -0.83853
0.24150, -0.94616
0.24200, -0.83377
0.24250, -0.53698
0.24300, -0.18795
0.24350, 0.29780
0.24400, 0.72012
0.24450, 0.94820
0.24500, 1.09252
0.24550, 0.91559
0.24600, 0.55094
0.24650, 0.07023
0.24700, -0.36781
0.24750, -0.70607
0.24800, -0.90952
0.24850, -0.88451
0.24900, -0.70652
0.24950, -0.25435
0.25000, 0.22185
0.25050, 0.68581
0.25100, 0.92647
0.25150, 1.09013
0.25200, 0.88884
0.25250, 0.57940
0.25300, 0.14200
0.25350, -0.25943
0.25400, -0.66444
0.25450, -0.89162
0.25500, -0.88592
0.25550, -0.76395
0.25600, -0.32122
0.25650, 0.11770
0.25700, 0.58522
0.25750, 0.92255
0.25800, 1.09636
0.25850, 0.97515
0.25900, 0.72573
0.25950, 0.25162
0.26000, -0.21354
0.26050, -0.57741
0.26100, -0.87401
0.26150, -0.96629
0.26200, -0.73776
0.26250, -0.46785
0.26300, 0.05115
0.26350, 0.44607
0.26400, 0.86901
0.26450, 1.03199
0.26500, 0.99178
0.26550, 0.78566
0.26600, 0.32921
0.26650, -0.04650
0.26700, -0.50916
0.26750, -0.80502
0.26800, -0.97293
0.26850, -0.85360
0.26900, -0.49185
0.26950, -0.07229
0.27000, 0.40680
0.27050, 0.74750
0.27100, 1.03619
0.27150, 1.01186
0.27200, 0.79667
0.27250, 0.44664
0.27300, -0.03300
0.27350, -0.39596
0.27400, -0.75852
0.27450, -0.96887
0.27500, -0.86898
0.27550, -0.59356
0.27600, -0.21026
0.27650, 0.27032
0.27700, 0.72941
0.27750, 0.94764
0.27800, 1.04366
0.27850, 0.85941
0.27900, 0.59258
0.27950, 0.12563
0.28000, -0.38532
0.28050, -0.72627
0.28100, -0.92532
0.28150, -0.94336
0.28200, -0.67106
0.28250, -0.26410
0.28300, 0.21110
0.28350, 0.57410
0.28400, 0.94818
0.28450, 1.07554
0.28500, 0.93096
0.28550, 0.65886
0.28600, 0.24046
0.28650, -0.23775
0.28700, -0.61492
0.28750, -0.92454
0.28800, -0.93043
0.28850, -0.76778
0.28900, -0.39725
0.28950, 0.03279
0.29000, 0.51146
0.29050, 0.87909
0.29100, 1.07360
0.29150, 1.03542
0.29200, 0.69175
0.29250, 0.31324
0.29300, -0.18018
0.29350, -0.54087
0.29400, -0.84203
0.29450, -0.95269
0.29500, -0.75968
0.29550, -0.45638
0.29600, -0.00516
0.29650, 0.45105
0.29700, 0.83901
0.29750, 0.99518
0.29800, 1.03138
0.29850, 0.78935
0.29900, 0.39665
0.29950, -0.09843
0.30000, -0.50618
0.30050, -0.84446
0.30100, -0.99333
0.30150, -0.86073
0.30200, -0.58556
0.30250, -0.14904
0.30300, 0.36619
0.30350, 0.78676
0.30400, 1.04654
0.30450, 1.07341
0.30500, 0.82954
0.30550, 0.51706
0.30600, 0.04597
0.30650, -0.38957
0.30700, -0.79995
0.30750, -0.92461
0.30800, -0.84885
0.30850, -0.60187
0.30900, -0.24469
0.30950, 0.25617
0.31000, 0.63615
0.31050, 0.92052
0.31100, 1.03405
0.31150, 0.95367
0.31200, 0.60869
0.31250, 0.12432
0.31300, -0.29085
0.31350, -0.72935
0.31400, -0.92779
0.31450, -0.89242
0.31500, -0.74646
0.31550, -0.31749
0.31600, 0.18489
0.31650, 0.54412
0.31700, 0.88920
0.31750, 1.07017
0.31800, 0.97582
0.31850, 0.65218
0.31900, 0.20310
0.31950, -0.20292
0.32000, -0.58797
0.32050, -0.88379
0.32100, -0.94645
0.32150, -0.72089
0.32200, -0.41260
0.32250, 0.06264
0.32300, 0.46835
0.32350, 0.89714
0.32400, 0.99664
0.32450, 0.96943
0.32500, 0.75947
0.32550, 0.32464
0.32600, -0.09512
0.32650, -0.54392
0.32700, -0.82355
0.32750, -0.99171
0.32800, -0.82214
0.32850, -0.49304
0.32900, -0.10769
0.32950, 0.38178
0.33000, 0.80283
0.33050, 1.03202
0.33100, 1.03991
0.33150, 0.77016
0.33200, 0.47316
0.33250, -0.06505
0.33300, -0.51995
0.33350, -0.80076
0.33400, -0.91145
0.33450, -0.89405
0.33500, -0.58407
0.33550, -0.11561
0.33600, 0.26636
0.33650, 0.73074
0.33700, 0.94159
0.33750, 1.02359
0.33800, 0.84838
0.33850, 0.49776
0.33900, 0.08232
0.33950, -0.37172
0.34000, -0.72565
0.34050, -0.90203
0.34100, -0.91276
0.34150, -0.66658
0.34200, -0.22617
0.34250, 0.23758
0.34300, 0.65550
0.34350, 0.99319
0.34400, 1.02869
0.34450, 0.97173
0.34500, 0.64733
0.34550, 0.18410
0.34600, -0.33200
0.34650, -0.65705
0.34700, -0.88572
0.34750, -0.93531
0.34800, -0.76363
0.34850, -0.39811
0.34900, 0.06154
0.34950, 0.52073
0.35000, 0.89302
0.35050, 1.00207
0.35100, 1.00025
0.35150, 0.70035
0.35200, 0.26046
0.35250, -0.19754
0.35300, -0.62716
0.35350, -0.90290
0.35400, -0.89925
0.35450, -0.81045
0.35500, -0.46130
0.35550, 0.03219
0.35600, 0.47130
0.35650, 0.86435
0.35700, 1.07792
0.35750, 1.05200
0.35800, 0.77854
0.35850, 0.42239
0.35900, -0.05397
0.35950, -0.56349
0.36000, -0.79125
0.36050, -0.93337
0.36100, -0.82752
0.36150, -0.49340
0.36200, -0.12197
0.36250, 0.35710
0.36300, 0.80646
0.36350, 1.01616
0.36400, 1.08304
0.36450, 0.87357
0.36500, 0.51212
0.36550, -0.02746
0.36600, -0.45765
0.36650, -0.76316
0.36700, -0.91983
0.36750, -0.91752
0.36800, -0.63676
0.36850, -0.15396
0.36900, 0.31794
0.36950, 0.74020
0.37000, 0.98992
0.37050, 1.02235
0.37100, 0.90701
0.37150, 0.58131
0.37200, 0.08944
0.37250, -0.31607
0.37300, -0.74097
0.37350, -0.94744
0.37400, -0.93938
0.37450, -0.72547
0.37500, -0.30705
0.37550, 0.21286
0.37600, 0.63323
0.37650, 0.92310
0.37700, 1.06667
0.37750, 0.98940
0.37800, 0.64485
0.37850, 0.19123
0.37900, -0.28540
0.37950, -0.68817
0.38000, -0.86668
0.38050, -0.97282
0.38100, -0.75213
0.38150, -0.34888
0.38200, 0.05799
0.38250, 0.50550
0.38300, 0.85223
0.38350, 1.07159
0.38400, 0.97099
0.38450, 0.70329
0.38500, 0.34902
0.38550, -0.18721
0.38600, -0.62243
0.38650, -0.86863
0.38700, -0.93873
0.38750, -0.80582
0.38800, -0.47816
0.38850, -0.07979
0.38900, 0.38680
0.38950, 0.83685
0.39000, 0.98605
0.39050, 1.04206
0.39100, 0.79539
0.39150, 0.37814
0.39200, -0.07242
0.39250, -0.53324
0.39300, -0.82540
0.39350, -0.91744
0.39400, -0.88977
0.39450, -0.57959
0.39500, -0.14755
0.39550, 0.33906
0.39600, 0.72957
0.39650, 0.99296
0.39700, 1.08287
0.39750, 0.86624
0.39800, 0.46700
0.39850, 0.06503
0.39900, -0.43759
0.39950, -0.77094
0.40000, -0.91200
0.40050, -0.89495
0.40100, -0.65535
0.40150, -0.20892
0.40200, 0.25304
0.40250, 0.71080
0.40300, 0.93061
0.40350, 1.00343
0.40400, 0.94547
0.40450, 0.58595
0.40500, 0.16524
0.40550, -0.35507
0.40600, -0.74233
0.40650, -0.90027
0.40700, -0.93807
0.40750, -0.73080
0.40800, -0.34445
0.40850, 0.11699
0.40900, 0.59406
0.40950, 0.88520
0.41000, 1.03252
0.41050, 0.93227
0.41100, 0.72740
0.41150, 0.20785
0.41200, -0.19298
0.41250, -0.64051
0.41300, -0.93303
0.41350, -0.89819
0.41400, -0.81155
0.41450, -0.43573
0.41500, 0.06642
0.41550, 0.49684
0.41600, 0.83348
0.41650, 1.07094
0.41700, 0.98788
0.41750, 0.72101
0.41800, 0.34849
0.41850, -0.15871
0.41900, -0.50303
0.41950, -0.84241
0.42000, -0.97999
0.42050, -0.80105
0.42100, -0.50529
0.42150, -0.03887
0.42200, 0.41799
0.42250, 0.81643
0.42300, 0.98357
0.42350, 1.01806
0.42400, 0.79166
0.42450, 0.43457
0.42500, -0.04728
0.42550, -0.43167
0.42600, -0.81832
0.42650, -0.94069
0.42700, -0.83890
0.42750, -0.57171
0.42800, -0.18530
0.42850, 0.29832
0.42900, 0.69282
0.42950, 0.96188
0.43000, 1.01350
0.43050, 0.89077
0.43100, 0.58875
0.43150, 0.10171
0.43200, -0.40460
0.43250, -0.76112
0.43300, -0.88969
0.43350, -0.95576
0.43400, -0.63626
0.43450, -0.22310
0.43500, 0.21404
0.43550, 0.62736
0.43600, 0.92459
0.43650, 1.06499
0.43700, 0.91823
0.43750, 0.63864
0.43800, 0.19571
0.43850, -0.28094
0.43900, -0.63845
0.43950, -0.94343
0.44000, -0.92676
0.44050, -0.70467
0.44100, -0.40532
0.44150, 0.07215
0.44200, 0.57284
0.44250, 0.91229
0.44300, 1.03262
0.44350, 0.96776
0.44400, 0.74762
0.44450, 0.31688
0.44500, -0.20385
0.44550, -0.63022
0.44600, -0.89472
0.44650, -0.92621
0.44700, -0.78066
0.44750, -0.49465
0.44800, 0.02468
0.44850, 0.41069
0.44900, 0.83390
0.44950, 1.00560
0.45000, 1.03648
0.45050, 0.78774
0.45100, 0.35707
0.45150, -0.11755
0.45200, -0.48306
0.45250, -0.86715
0.45300, -0.90291
0.45350, -0.83466
0.45400, -0.55233
0.45450, -0.12611
0.45500, 0.37242
0.45550, 0.73625
0.45600, 1.00633
0.45650, 0.98660
0.45700, 0.88562
0.45750, 0.47499
0.45800, 0.02552
0.45850, -0.47204
0.45900, -0.80200
0.45950, -0.97006
0.46000, -0.89682
0.46050, -0.63390
0.46100, -0.24938
0.46150, 0.30364
0.46200, 0.66459
0.46250, 0.95140
0.46300, 1.00198
0.46350, 0.94109
0.46400, 0.56309
0.46450, 0.15689
0.46500, -0.31987
0.46550, -0.76185
0.46600, -0.89927
0.46650, -0.92239
0.46700, -0.72812
0.46750, -0.28616
0.46800, 0.18896
0.46850, 0.59276
0.46900, 0.90078
0.46950, 1.07257
0.47000, 0.96161
0.47050, 0.67741
0.47100, 0.22875
0.47150, -0.20067
0.47200, -0.63678
0.47250, -0.90873
0.47300, -0.96445
0.47350, -0.79188
0.47400, -0.40694
0.47450, 0.01916
0.47500, 0.56308
0.47550, 0.88427
0.47600, 1.01768
0.47650, 0.96438
0.47700, 0.72513
0.47750, 0.33265
0.47800, -0.10006
0.47850, -0.53705
0.47900, -0.89823
0.47950, -0.94203
0.48000, -0.76516
0.48050, -0.51042
0.48100, 0.00221
0.48150, 0.38346
0.48200, 0.77702
0.48250, 1.02144
0.48300, 1.02881
0.48350, 0.75985
0.48400, 0.46698
0.48450, -0.05945
0.48500, -0.48015
0.48550, -0.81103
0.48600, -0.98858
0.48650, -0.84339
0.48700, -0.58798
0.48750, -0.12699
0.48800, 0.34945
0.48850, 0.72579
0.48900, 1.03009
0.48950, 1.06955
0.49000, 0.88536
0.49050, 0.52048
0.49100, 0.09515
0.49150, -0.41052
0.49200, -0.74380
0.49250, -0.89347
0.49300, -0.86563
0.49350, -0.64883
0.49400, -0.20785
0.49450, 0.19008
0.49500, 0.64090
0.49550, 0.98873
0.49600, 1.09879
0.49650, 0.87377
0.49700, 0.64431
0.49750, 0.15848
0.49800, -0.27857
0.49850, -0.67694
0.49900, -0.94823
0.49950, -0.90500
